wallet_address,malicious,bitcoin_spent,bitcoin_received,total_balance,total_transactions
12uAJcBDm9btUaDhezQ7u3HrRD7452428U,False,0,11200,11200,1
12h55v3jG1uTJ4pjp5Cx96SVdo892AbGmF,False,67450000,67509960,59960,6
127sG9e12RBHPZDvZANUoJYZrimoEBWAQf,False,1164579,1171947,7368,23
115vaCVvBpaSvWZxZcgAFqgdwTm65NuSmj,False,9986444,28788876,18802432,29
12LokWjH1zc5mfYC1uDbYgjotqf74ovfnT,False,0,12808221,12808221,1
12VCicTvznPkmvBbrmhQF9y2bp91LKKoG4,False,13797968,15415353,1617385,3
12exAbJ6jar8sW6zkSDwthChH23s4SXgFN,False,0,500000,500000,1
122a3DyAPcJUPLoP6S2mJof63Du8DRMz5M,False,0,1002535,1002535,1
12D4axmKZDrVwc8SPse75jSc3V3PJQhbRx,False,14750000,14750546,546,5
12iz3ZWWaRkkoJW5nMcQnQb6oKA6G8NrDz,False,0,84502,84502,1
12mKz8tJJFg53DPqki31bsBTuYEG5VVvBc,False,0,22582,22582,1
12SVQ6RY7HTwo5UoBK9BeDjnxnFjePoqWU,False,0,5662988,5662988,1
12Y4T552xpTfLQEzrgDKR6U583XDCFMXcJ,False,1020000,2500000,1480000,3
12U1cB73FEqexabB8mpsoZygc9D5BCEAk8,False,0,87570,87570,1
12WSPaKNr7quMJ2YQqRKEWEf3exjoqcDDT,False,143953,172073,28120,8
114ZWTJkK9kCqTJ4f6Bgw5gkQBtUeVCDnE,False,0,2730,2730,1
12cAUB992R7ctiNveei2bxvGyN8B1C32SK,False,23745850000,23745850001,1,3
113Wivz6Y2aXsRWm7248dXTLSVQeAfB4Ky,False,0,10000,10000,1
112jvrG2sEymymDKLRZdMga4i2HqzBFLNk,False,0,10000,10000,1
12VXzGVa1SYGVWUuBmUntxjWHryvt4J7yv,False,0,35615,35615,1
12r4KZF36RR79YKBUFCfyS7BkzBDcsjCkm,False,0,2200000,2200000,1
12fMhA1eSsxGoURMEh2J46VxyimfARupMG,False,0,138538,138538,1
12nFNVQbpUvu7EsKRyjohH5W5MJaPjPSX9,False,6784503788,6789043846,4540058,204
12RhGBxfNi6jLm6Ny77pzNbDZ1eoJSAFmu,False,0,21940,21940,1
12UMZERrMXwwa5jFF53fcmvcPenmPc8fWT,False,0,1000,1000,1
12ghGc1vVEF6sc3L6YNwBE5XiqbdKH8LsW,False,0,448431,448431,1
12SKNGETtznroGPsBwQX8n2EGBkbW2gkfJ,False,0,5628,5628,1
12Ve9v5cZEUdEoMXJ7mEbDu8Yaye7eM5TM,False,0,1993448,1993448,1
12BJ8xR2Zqrz5Uu4eCcHin4aHrjUwJC9ck,False,0,5673,5673,1
12b8Y3oCzufbjntr8ofdRfsf5kF5YQFXsr,False,0,16101366,16101366,1
12gJxtotBRhfdx8HfcsaZTkvnBywhimzZu,False,0,132521,132521,1
12X6WvU9Wn8oBjTXbQcefrVjKArfv3SoqD,False,0,17360,17360,1
12hu2VGswZCvTBS66X3P9vyqfpYaEccHrJ,False,0,17132,17132,1
127hcFF5MtDNQM3sDPk6XzTs5h9isnw2LA,False,85457240,86065570,608330,4
12NFC1xhM698r8QJwXpHo7xKeopW9C88DW,False,0,9808,9808,1
122dgYfYDoiS46oyXmLToAchrP7SGTrr93,False,0,36300,36300,1
126oG3bNSmjnEVop1Pu8Z9ou95bAVcZxp5,False,0,78560,78560,6
12cyKhPRAbsJ6b1sahMFjmV93GeLTSUpxz,False,0,94090,94090,1
12so5kHr3cHk6RGZwUZYXsU4LDtjcPCVqu,False,0,1000069,1000069,1
12hiMKkYCL6yqc5nv3d9yXstUuH8eqbNWM,False,0,1000214,1000214,1
12ecPt7UtxhnQ4engBiueTPeMUazBiwmf9,False,0,1150316,1150316,2
12EzbEPT59d4QxFs9JkQQ2CMpmpougvWT5,False,0,546,546,1
12BvujokcH57He8KAo1GEy7EDtb1RNqr6s,False,0,2314725,2314725,1
12MDg4ingwZwDaXnZoaGrhBh9mxuudbFMN,False,0,848500,848500,1
125m9zjNn9T1dTgmKDSqBCPzmJitrimym4,False,0,282175400,282175400,4
12RGB1djEfEz3KDkhRcmHa3xR1kwUVifkp,False,0,10000,10000,1
12m4fyik3P2rRaFnWXCjKMRKxEZ9Liz9xD,False,51746,101638,49892,5
1286KwDTXwdPg2YcdvYtBF2F2t8Fq6j9wX,False,0,602389,602389,1
