wallet_address,malicious,bitcoin_spent,bitcoin_received,total_balance,total_transactions
112WPPD4HqxHkDmgtxjrt1KFFJf22J1nVQ,FALSE,0,8145,8145,1
1136opGAse7THkXt5deRPauqwEGPUHgpkc,FALSE,73033,73033,0,2
113yNE37dGGhXhuJXnManJZTsdZF39G3W7,FALSE,0,3785307,3785307,1
1133ztweBK4GfXVvgwwc9PwLrrPmzTo7iM,FALSE,0,943740,943740,1
112SVGPJWEZtU1VnVZ3meZijV1Cqz28Ye,FALSE,40000,40546,546,3
1123S55T5FA3fqfinPW9zZnNQoEcnzoKPn,FALSE,0,1489,1489,1
113M75j7vnUXm3LZM9BL6ik6davgwZDDRG,FALSE,0,768,768,1
112WFeFC1MoT7XQY8QhaY2a2VWYWFyUkZ4,FALSE,0,2044,2044,1
112vEEzkd945BbHS9qbAK3CbXfZ4idt4Ng,FALSE,61548727,63548727,2000000,3
112GL6emZ5k7CgBFmUdwLUV5HcRKVBUXVk,FALSE,0,404960,404960,1
1125NNxSUTYM1dzXL8bKaer7RDJcphzyyf,FALSE,0,1000,1000,1
112hxuiJzNkN973kR1booZqi8dGPnDH21J,FALSE,0,50171,50171,1
113pKho1xZnas3NKbj551S5E2F12QZRtfJ,FALSE,7798,10546,2748,3
112MMFiwLsav5YgqMw4eDvUJ9cVL78poGh,FALSE,0,612136,612136,1
113gVoFY7CvZGCzKW59A8jvTQCuHpcTqvM,FALSE,6577650,6577650,0,2
113ExBvaNs9FLi71vgMmAUAcpv1r6w2AeX,FALSE,333726907,333744135,17228,12
113NLiVaTZyL8FryZWWwYicDhS2fp4Pknp,FALSE,4511919,4775168,263249,210
11227iGdNx2QMcVPkiMY1TmDucDg7vnGas,FALSE,0,10600000,10600000,1
112sYf4MhzGos1xj2JvAZFV4t9yh7fxLPC,FALSE,0,2500,2500,1
112xrPHVTFUXUyjbagK3d6u2gJkMbCXD8v,FALSE,100000,100002,2,4
